Laptop Name,Laptop Price,Laptop Sold
HP - EliteBook 840G5 - CORE I5 8TH GENERATION- 16GB RAM - 256GB SSD - Windows® 10 Activated - FREE LAPTOP BAG,"72,999",72 sold
Lenovo Thinkpad – X230 – Core i5 3rd Gen – 4 GB RAM – 250 GB – 12.5″ - Refurbished,"20,999",230 sold
"LENOVO CHROMEBOOK 100E - 4GB RAM DDR4 - 32GB SSD EMMC - 11.6"" SCREEN - PLAYSTORE SUPPORTED","14,050",304 sold
"Hp Chromebook 11 G4 Windows | celeron processor | 4GB RAM | 16GB SSD EMMC | 11.6"" screen","8,499",85 sold
"Hp Chromebook 11 G6 EE | 4GB RAM DDR4 | 16GB SSD EMMC | Playstore supported | 11.6"" screen","9,999",385 sold
Hp Elitebook 820 G3 - Core i5 6th Generation - 8GB DDR4 RAM - 256GB SSD - 12.5inch Screen - FREE LAPTOP BAG,"42,999",324 sold
Dell Latitude 6410 - Ci5 Processor - 4GB RAM -256GB SSD - Window 10 - Backlight Keyboard - Nvidia Graphic Card - Dell Laptop,"26,500",N/A
"Dell Chromebook 11 3180 | 4GB RAM | 16GB SSD EMMC | PLAYSTORE SUPPORTED | 11.6"" SCREEN DISPLAY","8,890",108 sold
LAPTOP Lenovo Thinkpad X230 Core i5 3rd Gen 8GB RAM 500GB 12.5″ Windows 10 (Free Laptop Bag) - Daraz Like New Laptops,"24,999",39 sold
"Hp Core i5-5th Generation | TOUCH SCREEN | 8GB RAM , 128GB SSD Hard Drive | Ultra HD TOUCH DISPLAY 360 degree revolve | 4Hours+ Battery Backup","62,000",142 sold
"Lenovo Chromebook N23 Laptop | Celeron | 4GB RAM | 16GB SSD | 11.6""","8,499",23 sold
Lenovo Thinkpad T470 - Core i5 7th Generation - 8GB DDR4 - 256GB SSD - 14inch Screen - FREE LAPTOP BAG - Daraz like new laptops,"49,999",201 sold
"Dell Chromebook 11 3180 - Celeron processor - 4gb Ram - 16GB SSD - 11.6"" screen - Playstore supported","8,600",23 sold
"DELL OPTIPLEX 7040sff I5 6Th, 16GB DDR4 RAM, 128GB SSD, 1 TB HDD, 4GB GAMING GRAPHIC CARD","45,000",66 sold
Dell Latitude 6410 - Ci5 Processor - 4GB RAM -128GB SSD - Window 10 - Backlight Keyboard - Nvidia Graphic Card - Dell Laptop,"24,000",N/A
"Samsung Chromebook 500C | 4GB RAM DDR3L | 16GB SSD EMMC | PLAYSTORE SUPPORTED | 11.6"" SCREEN","9,800",29 sold
"LAPTOP Dell 3189 Convertible Chromebook 11.6 inches HD IPS Touchscreen, Intel Celeron N3060 Up to 2.48GHz, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS - FREE LAPTOP BAG - Daraz Like New Laptops","13,499",71 sold
"H.P ELITEDESK 705 G3 AMD A12 PRO, 8 GB DDR4 RAM, 128GB SSD, 500 GB, 2GB GAMING GRAPHIC CARD","24,500",30 sold
"USED - Lenovo ThinkPad T430, Core i5 3rd generation, 8GB DDR3 Ram, 500GB Hard Drive, 14.1"" Led Display, Intel HD Graphics - Daraz like new laptops","25,499",14 sold
Apple MacBook Pro MKGQ3 (Space Grey) – M1 Chip 8-core CPU 16GB 512GB SSD 14″ Retina LED Display With True Tone Backlit Magic Keyboard Touch-ID (2021),"665,000",N/A
Daraz Like New Laptops - Lenovo N22/N23 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,"8,999",322 sold
Hp Elitebook 820 G3 - Core i5 6th Generation - 8GB DDR4 RAM - 128GB SSD - 500GB HDD -12.5inch Screen - FREE LAPTOP BAG (Windows 11 Licensed),"44,499",178 sold
"Apple MacBook Pro 2013 (A1502) 13.3"" Retina Display - Core i5 - 8GB RAM - 256GB SSD Storage - Daraz Like New","70,000",N/A
Lenovo/DELL/HP Desktop Computer PC Intel Core i7 4th Gen,"24,999",N/A
"DELL OPTIPLEX 7040sff I5 6Th, 8GB DDR4 RAM, 128GB SSD, 500 GB HDD, 2GB GAMING GRAPHIC CARD","31,900",20 sold
"Lenovo N23 CHROMEBOOK - Celeron processor - 4gb Ram - 16GB SSD - 11.6"" screen","8,699",123 sold
"DE!! OPTPLEX 3050SFF CORE I5 7th, 16GB DDR4 RAM, 128GB SSD, 1TB HDD, 2GB GRAPHIC CARD, BEST FOR GAMING AND GRAPHIC WORK","34,900",20 sold
Acer C720 ChromeBook Laptop - 4GB RAM / 128GB SSD Storage - Windows 10 Installed - Long Battery Life,"21,500",25 sold
"LENOVO CHROMEBOOK 100E | 4GB RAM DDR4 | 32GB SSD EMMC | 11.6"" SCREEN | PLAYSTORE SUPPORTED","13,900",254 sold
"HP PRODESK 600 G1 [ i5 4TH , 8GB, 128GB SSD, 500GB HDD, 2GB GRAPHIC CARD ]","25,900",369 sold
"H.P ELITEDESK 705 G3 AMD A8 PRO, 8 GB DDR4 RAM, 128GB SSD, 500 GB, 2GB GAMING GRAPHIC CARD","22,500",39 sold
"Dell 3189 Convertible Chromebook Touchscreen, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS - FREE LAPTOP BAG - Daraz like new tablets - Used","13,899",N/A
"De!! Precision T 1700 , CORE i7 4Th , 8GB RAM, 128GB SSD, 500GB HDD, 2GB GRAPHIC CARD","34,900",45 sold
"HP ORIGINAL | Chromebook 11 G4 | 8 to 10 Hours Battery Timing | 16GB SSD Storage | 4GB RAM | 11.6"" FULL HD Display | WINDOWS 10 INSTALLED | Dual Core | WITH FREE MOUSE","9,599",N/A
Optiplex 9010 - 23Inches All In One System - Core i5 3rd Generation - 8GB DDR3 RAM - 250GB HDD - WEBCAM - Silver (Renewed),"30,370",86 sold
Lenovo N23 Chromebook - 4gb/16gb - with Play Store - Long Battery Life,"16,200",29 sold
"H.P PRODESK 600 G3 TOWER [CORE I5 6TH GEN, 16 GB RAM, 128GB SSD, 1 TB HDD, 4GB GAMING GRAPHIC CARD ]","47,900",19 sold
