Laptop Name,Price,Ratings
"Dell 15 3520 Thin & Light Laptop, Intel Core i3-1215U Processor, 12th Gen (8GB RAM /512GB SSD /Window 11 /MS Office' 21 /15.6""(39.62 Cm) FHD Display /Intel UHD Graphics/15 Month Mcafee /Black /1.69Kg","₹32,990",3.8
"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4 + 512GB SSD/Intel UHD Graphics/15.6"" (39.62cm) FHD Display/Win 11 + MSO'21/15 Month McAfee/Carbon Black/Spill Resistant KB/1.69kg","₹49,990",3.6
"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) 120Hz Refresh Rate on a FHD IPS Display/Windows 11 + MSO'21+McAfee 15 Month/Carbon Black/1.62kg","₹38,540",3.9
"DELL 14 (2025) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" HD Display/Grey/1.5 kg/MS Office 2021","₹34,290",N/A
"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U Processor, 8GB, 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250nits, Standard Keyboard, Windows 11+MSO'21 & 15 Month McAfee, Black, 1.62kg","₹35,799",3.9
"Dell Inspiron 3535 Laptop, AMD 7 Series Ryzen 5-7520U Processor/8GB/512GB/15.6"" (39.62cm) FHD WVA AG 120Hz 250 nits Display/Win 11 + MSO'24/15 Month McAfee/Platinum Silver/1.63kg","₹36,999",4.3
"Dell Inspiron 3530 Laptop, 13th Generation Intel Core i7-1355U Processor, 16GB, 512GB, 15.6"" (39.62cm) FHD 120Hz Display, Backlit KB, Windows 11 + MSO'21, 15 Month McAfee, Silver, Thin & Light-1.62kg","₹67,990",3.8
"Dell G15-5530 Gaming Laptop, Intel Core i5-13450HX Processor, 16GB DDR5, 512GB,NVIDIA RTX 3050,6GB GDDR6, 15.6"" (39.62cm) FHD 120Hz 250 nits, Backlit KB Orange,Win 11 + MSO'21,Dark Shadow Gray, 2.65kg","₹77,286",3.9
"Dell 15 Thin & Light Laptop, 13th Gen Intel Core i3-1305U Processor, 8GB DDR4, 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Intel UHD Graphics, Windows 11 + MSO'21, 15 Months McAfee, Black, 1.66kg","₹37,490",3.8
"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U Processor, 8GB, 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250nits, Standard Keyboard, Windows 11+MSO'24 & 15 Month McAfee, Silver,1.62kg","₹36,990",3.9
"Dell Inspiron 15 3535 Laptop - 15.6 inch FHD (39.62cm) Display, AMD Ryzen 5 7520U, 8 GB RAM (2 DIMM Slots- Max Memory), 512 GB SSD, Win 11 + Office H&S 2021, Carbon Black, 1.67Kg, Ideal for Students","₹39,490",3.9
"Dell Vostro 15 3520 Laptop - 15.6 inch (39.62cm) FHD Display, Intel Core i5-1235U, 8 GB RAM, 512 GB SSD, Titan Grey, 1.69Kg, Ideal for Business Users, Perfect for Productivity and Collaboration","₹44,990",3.8
"Dell 15 Thin & Light Laptop, Intel Core 13th Generation i5-1334U Processor, 16GB DDR4 & 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Windows 11 + MSO'21 + 15 Month Mcafee, Carbon Black, 1.66kg","₹51,990",3.8
"Dell Inspiron 3535 Thin & Light Laptop, AMD R5-7530U Processor, 16GB, 512GB, 15.6"" (39.62cm) FHD 120Hz WVA IPS Display, Standard Keyboard, Windows 11 + MSO'24, 15 Month McAfee, Platinum Silver, 1.67kg","₹45,386",N/A
"DELL 15 (2025) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" HD Display/Smoky Black/1.8 kg/MS Office 2021/3 Years Warranty","₹35,790",N/A
"DELL 15 (2025) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" HD Display/Smoky Black/1.8 kg/MS Office 2021","₹33,990",N/A
"Dell Inspiron 3520 Laptop, Intel i3-1115G4/8GB/512Gb SSD/15.6"" (39.62cm) FHD AG 120Hz 250 nits/Platinum Silver/Win 11+MSO'21/15 Month McAfee/1.65kg","₹38,500",4.7
"DELL 14 Intel Core i3 5th Gen - (6 GB/12 GB SSD/Intel UHD Graphics/DOS) Thin and Light Laptop/14.0"" HD Display/Grey/1.5 kg/MS Office 2018","₹34,490",5.0
"Dell WM118 Wireless Mouse, 1000DPI, 2.4 Ghz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Plug and Play, Ambidextrous - Black",₹649,4.1
Dell Latitude 3440 Intel Core i5-12th Gen / 16GB RAM / 512GB SSD / 3 Year Warranty/Windows 11 Pro/FHD/BKL/NO FPR,"₹57,100",3.6
"Dell MS116 Wired Optical Mouse, 1000DPI, LED Tracking, Scrolling Wheel, Plug and Play",₹309,4.4
